metric,baseline_holdout,tuned_holdout,tuned_minus_baseline,better_direction
roc_auc,0.6428326341637598,0.65949574721111714,0.016663113047357347,higher
average_precision,0.20590955999064992,0.2158061716611499,0.0098966116704999885,higher
log_loss,0.38518540595314277,0.38281766478026447,-0.0023677411728783015,lower
brier_score,0.11506915873619887,0.11452291657075905,-0.00054624216543981696,lower
