feature,low_20pct_cutoff,high_20pct_cutoff,low_group_rows,high_group_rows,low_group_mean_shap,high_group_mean_shap,high_minus_low_mean_shap,spearman_value_shap
int_rate,8.6699999999999999,15.59,2017,2045,-0.40080152087657561,0.30096742868111731,0.70176894955769287,0.97881467721893523
annual_inc,40000,95000,2191,2092,0.1186173628935998,-0.1373196331832422,-0.255936996076842,-0.9565732690118689
acc_open_past_24mths,2,6,2769,2949,-0.016063764536409859,0.088108138742490044,0.1041719032788999,0.77001342473067769
log_annual_inc,10.596659732783579,11.461642696843066,2191,2092,0.034983823906931139,-0.038758060991881685,-0.073741884898812823,-0.92013289967954148
loan_to_inc_ratio,0.099999166673611056,0.29090574108583311,2002,2000,-0.015397208400219308,0.049521299964930605,0.06491850836514991,0.74490631673055385
inq_last_6mths,0,1,5427,4573,-0.0096781327785780431,0.0079112872633445783,0.01758942004192262,0.48649936311494701
bc_open_to_buy,792.40000000000009,12507.800000000003,1979,1979,0.017604238955881139,-0.0023735083247604749,-0.019977747280641615,-0.35034684503415575
revol_util,33.299999999999997,75.799999999999997,2001,2009,-0.00046484115623946095,0.0012892520630013991,0.00175409321924086,0.77750148365545335
open_acc_ratio,0.32500000000000001,0.59999999999999998,2007,2027,-0.00096156372969756596,0.00063166651869287936,0.0015932302483904453,0.80418137536214718
mo_sin_rcnt_rev_tl_op,3,19,2487,2040,0.0002968252393054199,-0.0004998789310659246,-0.00079670417037134449,-0.66246196714515315
mo_sin_old_il_acct,86,161,1962,1938,0.00077407213317257507,-0.000158453908621535,-0.00093252604179411009,-0.60712917841729563
dti,10.35,25,2005,2001,-0.00015683139722870521,0.00071566576393215483,0.00087249716116086001,0.64196661630425689
loan_amnt,6000,19200,2212,2026,7.8794412979388051e-05,-0.00012754864726577543,-0.00020634306024516349,-0.21665880611323146
emp_length_num,2,10,2386,3146,-4.6683573930357727e-05,-4.9606037876706741e-05,-2.9224639463490138e-06,-0.00023553454322499092
mths_since_last_delinq,12,55,1026,1024,-0.00014329699051321689,3.4526690958584512e-05,0.0001778236814718014,0.48270529091871889
installment,201.71000000000001,623.88,2003,2016,0.00010925143472060232,-9.3415228213354829e-05,-0.00020266666293395713,-0.28116548599239621
